x,y1,y2
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0.111408199643492,0
1.00000000000001,0.111408199643731,0
1.000231242335,0.11913688731053,0.0063575206104687
1.00046248466999,0.126865574977328,0.0225496666833671
1.00084790731203,0.139747347772994,0.0630919772512783
1.00135048099386,0.156544596497223,0.12960409806369
1.0019476960537,0.176504992882135,0.217258595647814
1.00265862044708,0.200265834907018,0.325758209265143
1.00352355775849,0.229174167507434,0.459107128462577
1.00460849247284,0.265435354484306,0.626027250032966
1.00602680019286,0.312838687372885,0.842620014246301
1.00795974744425,0.377442539357668,1.13454369653925
1.01045103395522,0.470757239038309,1.50527829570789
1.01218546221194,0.567372003784792,1.7596971212551
1.01391989046867,0.663986768531275,2.01117794567805
1.01599347747492,0.779494066116282,2.30803465367873
1.01827101984543,0.906362513671548,2.62938899642926
1.02031800476939,1.02393080009315,2.91403880937932
1.02201321078752,1.13724671039546,3.14675965409042
1.02363842193701,1.24588381931904,3.36741386448181
1.02553668826703,1.37277327988142,3.62213588815571
1.02778093586752,1.52278983071637,3.91914677238265
1.03000146188673,1.6712207143539,4.20867278885627
1.03184272154187,1.7942995683065,4.44543091492993
1.03343854249875,1.90097209216222,4.64824854861229
1.03516367605691,2.01628850647764,4.8651034786758
1.0372664591328,2.15684887251369,5.12607545266029
1.03958205748873,2.31163485887229,5.40926081502147
1.04162586263978,2.44825285025269,5.65556257196884
1.04328878616655,2.55941084001028,5.85340811316954
1.0448904852735,2.66647628833576,6.04191573217407
1.04679812100749,2.79399204595494,6.26382818788709
1.04907870466087,2.94643747733104,6.52544507725313
1.05131696960256,3.06670987533684,6.77837328924298
1.05313826428877,3.14787274014133,6.9813205771851
1.05470606107015,3.21773890686925,7.15401995031386
1.05642420006342,3.29430481566032,7.34124199253799
1.05854877841552,3.38898299534392,7.56980659729617
1.06089297714737,3.48349968184158,7.81828012534011
1.06293444249903,3.55173047568063,8.03148740605577
1.06457385468255,3.60652366363245,8.20051781083239
1.06615831191693,3.65948012200075,8.36215304704309
1.06807201454352,3.72344077128513,8.55512586728935
1.07037831650098,3.81316732404033,8.78444153837854
1.07262960995361,3.96365485429673,9.00492485032842
1.07443744390818,4.08449936997632,9.17949586220415
1.07598578679661,4.18799822615516,9.32731215288422
1.07769841748268,4.30247888698858,9.48907397177984
1.0798368393728,4.44542152670201,9.68847992647963
1.08220062609704,4.6524622189871,9.90563480768181
1.08382497961789,4.79723526006173,10.0527924980838
1.08544933313875,4.94200830113635,10.1983803443452
1.08749430361388,5.12426948430298,10.3794484521971
1.08988227750361,5.33710138178376,10.5878000607027
1.09156471280096,5.46961886816746,10.7325374077043
1.0932471480983,5.60082482941317,10.8756647381254
1.09529982143724,5.76090407821593,11.0481349250363
1.097623052037,5.94208293514942,11.2405228666614
1.09972600557685,6.10608332261533,11.4121044868283
1.10142236151631,6.19083607470177,11.548672485787
1.10300215557356,6.26123687939194,11.6744803466101
1.10485413858652,6.34376731668965,11.8203065293373
1.10710347497841,6.44400512381497,11.9950213149484
1.10938524638166,6.54568834142878,12.1696179066709
1.11126312996724,6.61530068963579,12.3112537859413
1.11283830282174,6.6679468411902,12.428646897307
1.11451046072046,6.72383447149499,12.5519565129356
1.11657960110583,6.79299023303792,12.7026590963202
1.11893105939983,6.87158175355943,12.8714359750444
1.12060706237814,6.94788741386872,12.9900507737162
1.12228306535645,7.05991969851519,13.1073555582582
1.12432814633632,7.19662297257008,13.2487380169968
1.12665228878264,7.35198008796598,13.4071047972348
1.12876426009372,7.49315464084612,13.5488931292376
1.13046586186388,7.60689807468025,13.6615922254904
1.13204250315616,7.7122885353939,13.7648858161792
1.13388610514551,7.8355239624895,13.8843229101125
1.13613039130222,7.98554309061163,14.0277591304672
1.13841851783704,8.13849272529214,14.1718279557202
1.14030523355337,8.25440842981413,14.2889082233567
1.14188181717753,8.30710173276055,14.3855675125761
1.14354717767523,8.36276217720258,14.4866043809352
1.14560779539107,8.43163309016504,14.6100906014251
1.14795977581508,8.51024206155565,14.7489994898315
1.14964171366673,8.56645656194509,14.8469358101734
1.15132365151838,8.63741762559637,14.9437888615112
1.15336889646048,8.72856044832795,15.0601205894261
1.15568581648887,8.83181000396052,15.1900203091042
1.15779228468928,8.92568113588606,15.306385218119
1.15949597969304,9.00160337313035,15.3992212598437
1.16107869018003,9.09616912968101,15.4845319005815
1.16292622995675,9.21966777785743,15.5830089247014
1.16516785807173,9.36950922939388,15.7008852006315
1.16744882889675,9.52198054122649,15.8190608890824
1.16933316471348,9.64793881774637,15.9152713066501
1.17091344351646,9.74339591780662,15.9949811787378
1.17258429715917,9.83646931590734,16.0783839474424
1.17464693488621,9.95136669375065,16.1800838284055
1.17699394156135,10.082104587865,16.2941389028439
1.17867592258626,10.1757978267749,16.3747150720211
1.18035790361117,10.2615163862915,16.4544030549134
1.18240212437288,10.329839272712,16.5500715628576
1.18471803461481,10.4072426898891,16.6569113167054
1.18682488538058,10.4776588251086,16.7526795535127
1.18852963908965,10.5346358875776,16.8291025982623
1.19011286930624,10.5888087926134,16.8993119905561
1.19195986488836,10.6711169736346,16.980312380985
1.19420037020358,10.7709612390187,17.0772538959534
1.19648109332133,10.8725977415924,17.1744870488183
1.19836628467512,10.956608051476,17.2536818292755
1.1999473467073,11.0270653612877,17.3192890935104
1.20161812219154,11.1375750128038,17.3879054136507
1.20367988799224,11.2753935823692,17.4715479714235
1.20602617568366,11.432230994897,17.5653696056688
1.2077089975276,11.5447190860695,17.6316942037921
